ENABLE, SOURCE, DESTINATION, NAME
, audioport.clk , audioport.control_unit_1.clk, audioport_clk_to_audioport_control_unit_1_clk
, audioport.rst_n , audioport.control_unit_1.rst_n, audioport_rst_n_to_audioport_control_unit_1_rst_n
, audioport.psel_in , audioport.control_unit_1.psel_in, audioport_psel_in_to_audioport_control_unit_1_psel_in
, audioport.penable_in , audioport.control_unit_1.penable_in, audioport_penable_in_to_audioport_control_unit_1_penable_in
, audioport.pwrite_in , audioport.control_unit_1.pwrite_in, audioport_pwrite_in_to_audioport_control_unit_1_pwrite_in
, audioport.paddr_in , audioport.control_unit_1.paddr_in, audioport_paddr_in_to_audioport_control_unit_1_paddr_in
, audioport.pwdata_in , audioport.control_unit_1.pwdata_in, audioport_pwdata_in_to_audioport_control_unit_1_pwdata_in
, audioport.req , audioport.control_unit_1.req_in, audioport_req_to_audioport_control_unit_1_req_in
, audioport.control_unit_1.prdata_out , audioport.prdata_out, audioport_control_unit_1_prdata_out_to_audioport_prdata_out
, audioport.control_unit_1.pslverr_out , audioport.pslverr_out, audioport_control_unit_1_pslverr_out_to_audioport_pslverr_out
, audioport.control_unit_1.pready_out , audioport.pready_out, audioport_control_unit_1_pready_out_to_audioport_pready_out
, audioport.control_unit_1.irq_out , audioport.irq_out, audioport_control_unit_1_irq_out_to_audioport_irq_out
, audioport.control_unit_1.cfg_reg_out , audioport.cfg_reg, audioport_control_unit_1_cfg_reg_out_to_audioport_cfg_reg
, audioport.control_unit_1.level_reg_out , audioport.level_reg, audioport_control_unit_1_level_reg_out_to_audioport_level_reg
, audioport.control_unit_1.dsp_regs_out , audioport.dsp_regs, audioport_control_unit_1_dsp_regs_out_to_audioport_dsp_regs
, audioport.control_unit_1.cfg_out , audioport.cfg, audioport_control_unit_1_cfg_out_to_audioport_cfg
, audioport.control_unit_1.clr_out , audioport.clr, audioport_control_unit_1_clr_out_to_audioport_clr
, audioport.control_unit_1.level_out , audioport.level, audioport_control_unit_1_level_out_to_audioport_level
, audioport.control_unit_1.tick_out , audioport.tick, audioport_control_unit_1_tick_out_to_audioport_tick
, audioport.control_unit_1.abuf_out , audioport.abuf, audioport_control_unit_1_abuf_out_to_audioport_abuf
, audioport.control_unit_1.play_out , audioport.play, audioport_control_unit_1_play_out_to_audioport_play
, audioport.clk , audioport.dsp_unit_1.clk, audioport_clk_to_audioport_dsp_unit_1_clk
, audioport.rst_n , audioport.dsp_unit_1.rst_n, audioport_rst_n_to_audioport_dsp_unit_1_rst_n
, audioport.abuf , audioport.dsp_unit_1.abuf_in, audioport_abuf_to_audioport_dsp_unit_1_abuf_in
, audioport.tick , audioport.dsp_unit_1.tick_in, audioport_tick_to_audioport_dsp_unit_1_tick_in
, audioport.cfg , audioport.dsp_unit_1.cfg_in, audioport_cfg_to_audioport_dsp_unit_1_cfg_in
